buyPrice,sellPrice,tradeDate,gainLoss
9.2,8.5586,"""2022-04-19T07:00:00.000Z""",-0.6413999999999991
7.1189,7.4887999999999995,"""2022-04-20T07:00:00.000Z""",0.36989999999999945
11.3927,11.7737,"""2022-04-21T07:00:00.000Z""",0.3810000000000002
12.690000000000001,12.2767,"""2022-04-22T07:00:00.000Z""",-0.41330000000000133
12.683,13.0608,"""2022-04-25T07:00:00.000Z""",0.3778000000000006
12.709999999999999,10.702200000000001,"""2022-04-26T07:00:00.000Z""",-2.007799999999998
10.7759,10.175699999999999,"""2022-04-27T07:00:00.000Z""",-0.600200000000001
15.649999999999999,15.89,"""2022-04-28T07:00:00.000Z""",0.240000000000002
13.6829,14.1372,"""2022-04-29T07:00:00.000Z""",0.4542999999999999
14.168199999999999,13.9509,"""2022-05-02T07:00:00.000Z""",-0.21729999999999805
11.622,11.8052,"""2022-05-03T07:00:00.000Z""",0.18319999999999936
11.0426,10.3813,"""2022-05-04T07:00:00.000Z""",-0.6613000000000007
15.510000000000002,13.32,"""2022-05-05T07:00:00.000Z""",-2.1900000000000013
15.120000000000001,14.782,"""2022-05-06T07:00:00.000Z""",-0.33800000000000097
14.4673,13.4678,"""2022-05-09T07:00:00.000Z""",-0.9994999999999994
12.5363,12.896999999999998,"""2022-05-10T07:00:00.000Z""",0.3606999999999978
10.45,11.163,"""2022-05-11T07:00:00.000Z""",0.713000000000001
16.74,16.5488,"""2022-05-12T07:00:00.000Z""",-0.19119999999999848
14.4108,14.790700000000001,"""2022-05-13T07:00:00.000Z""",0.379900000000001
11.8228,12.3569,"""2022-05-16T07:00:00.000Z""",0.5340999999999987
9.8416,10.1973,"""2022-05-17T07:00:00.000Z""",0.35570000000000057
8.4904,8.2291,"""2022-05-18T07:00:00.000Z""",-0.26129999999999853
14.7256,14.3467,"""2022-05-19T07:00:00.000Z""",-0.3788999999999998
11.66,12.33,"""2022-05-20T07:00:00.000Z""",0.6699999999999999
11.45,11.4153,"""2022-05-23T07:00:00.000Z""",-0.034699999999999065
14.7256,14.3467,"""2022-05-24T07:00:00.000Z""",-0.3788999999999998
14.7256,14.3467,"""2022-05-25T07:00:00.000Z""",-0.3788999999999998
12.84,12.344999999999999,"""2022-05-26T07:00:00.000Z""",-0.495000000000001
11.94,11.55,"""2022-05-27T07:00:00.000Z""",-0.3899999999999988
8.88,9.286999999999999,"""2022-05-31T07:00:00.000Z""",0.40699999999999825
7.5939,7.9886,"""2022-06-01T07:00:00.000Z""",0.3947000000000003
11.940000000000001,12.3825,"""2022-06-02T07:00:00.000Z""",0.442499999999999
10.9329,11.4109,"""2022-06-03T07:00:00.000Z""",0.47799999999999976
9.2994,9.5074,"""2022-06-06T07:00:00.000Z""",0.20800000000000018
9.0012,8.825,"""2022-06-07T07:00:00.000Z""",-0.17620000000000147
7.2628,7.6561,"""2022-06-08T07:00:00.000Z""",0.3933
12.33,12.0322,"""2022-06-09T07:00:00.000Z""",-0.2978000000000005
12.407499999999999,13.1756,"""2022-06-10T07:00:00.000Z""",0.7681000000000004
12.7384,13.224499999999999,"""2022-06-13T07:00:00.000Z""",0.48609999999999864
11.7871,12.1473,"""2022-06-14T07:00:00.000Z""",0.36019999999999897
10.8761,11.371300000000002,"""2022-06-15T07:00:00.000Z""",0.4952000000000023
12.9267,13.3788,"""2022-06-16T07:00:00.000Z""",0.4520999999999997
11.661999999999999,12.1347,"""2022-06-17T07:00:00.000Z""",0.47270000000000145
9.0686,9.421299999999999,"""2022-06-21T07:00:00.000Z""",0.3526999999999987
10.5033,7.9771,"""2022-06-22T07:00:00.000Z""",-2.5261999999999993
12.1155,12.614799999999999,"""2022-06-23T07:00:00.000Z""",0.4992999999999981
11.46,11.335,"""2022-06-24T07:00:00.000Z""",-0.125
10.0464,9.858,"""2022-06-27T07:00:00.000Z""",-0.18839999999999968
8.2291,8.6455,"""2022-06-28T07:00:00.000Z""",0.41639999999999944
7.4611,7.8295,"""2022-06-29T07:00:00.000Z""",0.3684000000000003
11.293299999999999,11.83,"""2022-06-30T07:00:00.000Z""",0.5367000000000015
9.8897,10.3171,"""2022-07-01T07:00:00.000Z""",0.42740000000000045
8.636099999999999,9.0088,"""2022-07-05T07:00:00.000Z""",0.3727000000000018
7.2059999999999995,7.569100000000001,"""2022-07-06T07:00:00.000Z""",0.3631000000000011
11.3711,11.423300000000001,"""2022-07-07T07:00:00.000Z""",0.05220000000000091
9.671,10.065000000000001,"""2022-07-08T07:00:00.000Z""",0.3940000000000019
9.07,9.2256,"""2022-07-11T07:00:00.000Z""",0.15559999999999974
8.671199999999999,9.0667,"""2022-07-12T07:00:00.000Z""",0.39550000000000196
8.0016,8.6966,"""2022-07-13T07:00:00.000Z""",0.6950000000000003
11.335,11.7909,"""2022-07-14T07:00:00.000Z""",0.45589999999999975
10.0838,10.5677,"""2022-07-15T07:00:00.000Z""",0.4839000000000002
8.0177,8.3771,"""2022-07-18T07:00:00.000Z""",0.35940000000000083
8.8364,7.9386,"""2022-07-19T07:00:00.000Z""",-0.8977999999999993
7.5766,6.6219,"""2022-07-20T07:00:00.000Z""",-0.9546999999999999
11.9592,12.3704,"""2022-07-21T07:00:00.000Z""",0.4112000000000009
10.511099999999999,10.962,"""2022-07-22T07:00:00.000Z""",0.45090000000000074
11.9592,12.3704,"""2022-07-25T07:00:00.000Z""",0.4112000000000009
9.5,9.091000000000001,"""2022-07-26T07:00:00.000Z""",-0.4089999999999989
9.5,9.091000000000001,"""2022-07-27T07:00:00.000Z""",-0.4089999999999989
10.6938,11.135,"""2022-07-28T07:00:00.000Z""",0.44120000000000026
8.6309,9.050799999999999,"""2022-07-29T07:00:00.000Z""",0.4198999999999984
8.682400000000001,8.011099999999999,"""2022-08-01T07:00:00.000Z""",-0.6713000000000022
8.6309,9.050799999999999,"""2022-08-02T07:00:00.000Z""",0.4198999999999984
8.6309,9.050799999999999,"""2022-08-03T07:00:00.000Z""",0.4198999999999984
10.655000000000001,10.6344,"""2022-08-04T07:00:00.000Z""",-0.020600000000001728
10.3171,10.7424,"""2022-08-05T07:00:00.000Z""",0.4253
8.6638,9.02,"""2022-08-08T07:00:00.000Z""",0.3561999999999994
8.55,8.2975,"""2022-08-09T07:00:00.000Z""",-0.2525000000000013
8.967600000000001,9.405000000000001,"""2022-08-10T07:00:00.000Z""",0.43740000000000023
